Type,City,Bedrooms,Area,Price,Predicted_Price,Discount_pct
Chalet,North Coast,2.0,115.0,330000,1739653.256747537,81.0
Chalet,North Coast,1.0,70.0,190000,1001651.4405799042,81.0
Chalet,Ain Sukhna,2.0,100.0,260000,1370209.1296080998,81.0
Chalet,Ain Sukhna,2.0,126.0,100000,523518.13606516144,80.9
Duplex,New Capital City,3.0,270.0,216000,1133312.5696777166,80.9
Apartment,Sheikh Zayed,3.0,145.0,172000,897086.206771946,80.8
Chalet,Ain Sukhna,2.0,108.0,100000,519457.72258845123,80.7
Chalet,Alamein,3.0,187.0,200000,1034451.7584500373,80.7
Stand Alone Villa,New Hut - El Tagamoa,4.0,340.0,600000,3115038.404858067,80.7
Chalet,North Coast,2.0,115.0,290000,1503231.3824844619,80.7
Twin House,Shorouk City,4.0,247.0,975000,5045141.063042366,80.7
Apartment,New Hut - El Tagamoa,3.0,160.0,320000,1660323.9337356412,80.7
Chalet,North Coast,2.0,101.0,150000,774332.7392585288,80.6
Chalet,North Coast,2.0,91.0,115000,593898.828379375,80.6
Chalet,North Coast,2.0,91.0,115000,593898.828379375,80.6
Town House,Sheikh Zayed,3.0,205.0,500000,2566994.171598558,80.5
Chalet,Ain Sukhna,2.0,100.0,210000,1079072.9980294874,80.5
Duplex,New Capital City,5.0,310.0,371000,1904816.1888829488,80.5
Apartment,Sheikh Zayed,2.0,110.0,319000,1639078.9832205712,80.5
Stand Alone Villa,New Hut - El Tagamoa,4.0,271.0,950000,4861091.246567186,80.5
Stand Alone Villa,Madinaty,5.0,268.0,500000,2562229.0575716607,80.5
Chalet,North Coast,2.0,92.0,252000,1288832.8657620384,80.4
Town House,North Coast,3.0,160.0,290000,1476016.9711683712,80.4
Chalet,North Coast,2.0,85.0,280000,1431694.3142255498,80.4
Chalet,Ain Sukhna,2.0,92.0,131000,667249.0451620828,80.4
Town House,Shorouk City,3.0,210.0,528000,2688861.403864886,80.4
Chalet,Ain Sukhna,2.0,155.0,404900,2052875.479083406,80.3
